,ID,emb_dim1,emb_dim2,emb_dim3,emb_dim4
5868,5868,-0.02944355,-0.036004186,-0.04561891,0.012564054
5870,5870,-0.019264948,-0.01866932,0.043143842,0.04673519
5873,5873,0.052290414,-0.017344147,0.0076997527,0.006742798
5878,5878,0.010593005,-0.022574855,-0.015123944,-0.019989606
5880,5880,0.0012948917,0.013749779,0.07046815,-0.006024029
5889,5889,0.04522127,-0.017135128,-0.008227432,-0.018534234
5890,5890,0.024857707,-0.008223545,0.044631045,-0.04753717
5893,5893,0.0302697,0.007501824,0.041425906,-0.06631691
5896,5896,0.037047926,-0.035783093,0.03914855,0.027978115
5925,5925,0.024926992,-0.042709813,-0.013172333,-0.06114815
5928,5928,0.0002520344,-0.015092271,-0.09788599,0.0422243
5936,5936,0.025809921,0.018589098,-0.0088794045,-0.060988206
5938,5938,0.03728594,0.020095715,-0.042381704,0.05063419
5946,5946,0.011741309,-0.031146044,0.047193773,-0.017295567
5947,5947,0.049156953,-0.039542537,0.01701882,0.0017463787
5948,5948,0.006472708,0.014668083,0.0808667,0.046470974
5957,5957,0.0145146595,-0.03768556,-0.0019391542,0.016134918
5958,5958,0.037592467,0.014763506,0.030458018,0.069343574
5962,5962,-0.05066782,0.028641794,0.07252377,0.0063576885
5970,5970,0.04121786,-0.04523025,0.00021230942,0.04400979
5974,5974,-0.04760299,-0.036018975,0.017482487,0.023691384
5976,5976,0.014023915,-0.026136084,-0.046041854,0.0049369056
5980,5980,-0.02158757,-0.026860124,0.004140983,-0.021198023
5982,5982,-0.018341849,0.013423539,0.059719414,0.02308967
5986,5986,-0.0014771312,-0.0067111533,-0.022910995,0.01475102
5993,5993,-0.047587864,0.027031716,0.025500534,0.028352786
6004,6004,-0.028324163,0.03668487,-0.0063815024,-0.052168064
6009,6009,0.004397061,-0.04003847,-0.025260005,-0.038086373
6012,6012,0.029182436,-0.05779016,-0.042498104,0.05227252
6020,6020,-0.084272146,0.009116229,0.022776166,-0.052952375
6031,6031,-0.006796218,-0.0032060712,-0.056179285,0.03643032
6033,6033,-0.061661568,-0.024739685,-0.031585123,0.004041509
6043,6043,-0.026594331,-0.00304684,0.015021274,-0.024940616
6046,6046,0.05569274,0.015886348,-0.029938435,0.040314272
6053,6053,0.010717034,-0.030101836,0.0089484565,-0.03193885
6090,6090,-0.002526352,0.06347011,-0.065006256,-0.015802266
6094,6094,-0.022119183,-0.028147114,0.03823198,0.03723759
6097,6097,0.024586137,-0.029453142,-0.03542761,0.023278631
6098,6098,0.0044321213,-0.0015480077,-0.009501855,-0.037425674
6157,6157,-0.018667454,0.030295305,-0.029574445,-0.0222641
6160,6160,0.009198772,0.012013489,0.011250955,-0.014660765
6234,6234,-0.07566131,-0.05495753,0.0842525,0.0015560997
6288,6288,0.067535244,0.058411427,0.025327135,0.029970605
6417,6417,-0.052028157,-0.0420762,-0.00030255594,-0.057792827
6427,6427,0.031937502,0.0073388997,-0.06118958,0.00069843535
6428,6428,-0.012491817,-0.022203114,0.059820034,-0.035718754
6438,6438,-1.8441391e-06,-0.029392865,0.04384826,0.04936869
6442,6442,-0.026576713,0.010803373,-0.0042627566,-0.08972929
6444,6444,-0.0051636104,0.04400951,-0.04945907,-0.0064822123
6448,6448,-0.025345912,0.042445485,-0.045208257,0.0057139657
6717,6717,0.038421966,0.027173476,0.033320908,-0.055917926
6721,6721,0.009018958,0.0088634975,0.019508881,-0.012630824
6722,6722,-0.0243439,0.03623429,-0.038153514,0.048761576
6750,6750,-0.038008843,0.0051413625,0.03482309,-0.0056087594
6792,6792,0.035874385,0.013573887,0.021958902,-0.040183313
6793,6793,-0.016496874,0.060417566,0.001504853,0.02475892
6807,6807,0.014625823,0.06712525,-0.031893373,-0.006663428
6852,6852,0.009186618,0.03297258,-0.060782276,-0.0013674641
7093,7093,-0.040932316,-0.0010571006,0.03486348,0.014889805
7096,7096,-0.013437664,-0.018690968,-0.037537638,0.055844113
7100,7100,0.047127496,0.043672744,-0.002019465,-0.0014211535
7101,7101,0.014988123,-0.023697296,0.05119748,0.026006147
7108,7108,-0.069055736,-0.06391248,0.059636343,0.0059728045
7109,7109,0.100832365,0.016844157,-0.006124291,-0.0039074547
7499,7499,0.06347915,-0.031364292,0.06451808,-0.017929018
7520,7520,-0.012061038,0.028307958,0.038118824,0.012172462
7611,7611,0.029249964,0.024169026,0.0076592164,0.033019815
7642,7642,-0.02105303,0.009081907,-0.05609715,0.008247514
7663,7663,-0.049967747,0.01423798,0.02600927,0.03740816
7767,7767,0.055102546,0.0906835,0.06958577,-0.0015161438
7797,7797,0.033238854,-0.058595065,-0.020882288,0.039845444
7825,7825,-0.021879949,0.058510404,-0.043681297,0.03356156
8198,8198,-0.0032284292,0.051082954,0.021397056,0.044811558
8206,8206,-0.015491011,0.06883408,-0.07046638,-0.050771248
8885,8885,-0.020821001,-0.034415387,-0.082647845,-0.01935274
9340,9340,0.05536476,-0.011282064,0.035099253,0.015341624
9824,9824,-0.034626115,0.0632986,0.01272252,0.0015213466
9850,9850,-0.030111954,-0.046831466,0.050184358,0.035448797
9915,9915,-0.0337434,0.0025441856,-0.05417669,-0.013362597
9967,9967,0.027379673,0.004994371,-0.005083766,0.0122722285
10255,10255,0.04042063,-0.047538254,0.010885723,-0.057292957
12142,12142,-0.060343757,0.042728566,-0.012172779,-0.07254319
12149,12149,-0.0014742959,-0.032079943,0.053112417,0.03298217
12249,12249,-0.034417097,0.03259413,0.039896455,-0.012977917
12351,12351,0.012728373,-0.030145265,-0.0013294307,0.032374457
12359,12359,0.016432244,-0.005933699,0.0058809244,0.0066780066
12518,12518,0.057066794,0.060414053,-0.052640412,0.04150646
12563,12563,0.040148508,0.05436471,0.0059551816,-0.018829541
12906,12906,0.015905302,-0.03474787,-0.046938043,-0.00037975115
12907,12907,0.03389487,-0.016742073,-0.0035422954,0.065885454
13121,13121,-0.06875061,-0.043794353,-0.01774202,-0.0075715994
13749,13749,-0.0016102128,-0.043350115,0.0046852306,0.023906816
14086,14086,-0.05334505,0.08277898,0.0005252787,0.019885244
14942,14942,0.054715265,-0.032241713,0.037452668,-0.021467742
15185,15185,-0.044866372,0.012741716,0.0046382146,-0.0067075556
15332,15332,-0.02910916,-0.014493003,-0.01938731,0.01393532
15341,15341,0.024748614,-0.017465828,-0.03300761,0.010807861
15342,15342,0.07454127,-0.0108524375,0.0090390155,0.0008400372
15420,15420,-0.11383156,0.035479095,0.013923396,-0.07149726
15452,15452,0.06134666,-0.005675909,0.06763793,0.06813152
15511,15511,-0.01073366,0.04877305,0.008011723,0.067141585
15904,15904,-0.051038217,0.058414076,0.027741628,-0.03757864
15951,15951,0.04359535,-0.016248714,0.08378411,0.011084757
15977,15977,0.017562794,-0.025709208,0.017606577,0.037848532
15981,15981,-0.02341333,-0.024568433,0.009160444,0.04682197
16043,16043,-0.0043146014,0.031236237,-0.016636604,0.013833504
16117,16117,-0.006713196,0.042678636,0.033244316,0.04503467
