game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
3614670,6574,3,12.0,Alessio Dionisi,5,1,2.0,Stefano Pioli,Away,1
3614678,12,0,5.0,José Mourinho,1025,1,7.0,Siniša Mihajlović,Away,0
3614728,1025,1,9.0,Siniša Mihajlović,1390,2,19.0,Walter Mazzarri,Away,0
3614729,6574,5,11.0,Alessio Dionisi,749,1,12.0,Aurelio Andreazzoli,Away,1
3614739,6195,2,3.0,Luciano Spalletti,1025,0,10.0,Siniša Mihajlović,Away,1
3614761,5,2,3.0,Stefano Pioli,46,1,1.0,Simone Inzaghi,Away,1
3614762,276,0,10.0,Igor Tudor,506,2,4.0,Massimiliano Allegri,Away,0
3614788,1038,0,15.0,Marco Giampaolo,800,4,5.0,Gian Piero Gasperini,Away,0
3614790,46,0,3.0,Simone Inzaghi,252,0,20.0,Alexander Blessin,Away,0
3614809,1025,0,12.0,Siniša Mihajlović,430,1,8.0,Vincenzo Italiano,Away,0
3614812,749,0,14.0,Aurelio Andreazzoli,5,1,1.0,Stefano Pioli,Away,0
3614815,1390,0,17.0,Walter Mazzarri,3522,2,15.0,Thiago Motta,Away,0
3614816,46,1,3.0,Simone Inzaghi,416,1,11.0,Ivan Juric,Away,0
3614845,800,1,8.0,Gian Piero Gasperini,6574,2,9.0,Alessio Dionisi,Away,0
3614874,430,1,7.0,Vincenzo Italiano,380,2,18.0,Davide Nicola,Away,0
3614898,6574,3,11.0,Alessio Dionisi,1025,1,13.0,Siniša Mihajlović,Away,1
3614900,380,1,17.0,Davide Nicola,749,1,14.0,Aurelio Andreazzoli,Away,0
3715875,430,5,,Vincenzo Italiano,6195,2,,Luciano Spalletti,Away,1
3844746,5,1,4.0,Stefano Pioli,800,1,5.0,Gian Piero Gasperini,Away,0
3844749,3522,0,9.0,Luca Gotti,46,3,2.0,Simone Inzaghi,Away,0
3844771,1005,1,16.0,Marco Baroni,6195,1,4.0,Luciano Spalletti,Away,0
3844789,416,0,8.0,Ivan Juric,46,1,6.0,Simone Inzaghi,Away,0
3844800,506,0,20.0,Massimiliano Allegri,2919,1,17.0,Raffaele Palladino,Away,0
3844808,410,2,3.0,Andrea Sottil,276,1,17.0,Gabriele Cioffi,Away,1
3844814,2919,3,14.0,Raffaele Palladino,1038,0,20.0,Marco Giampaolo,Away,1
3844838,1038,1,18.0,Dejan Stankovic,2239,0,20.0,Massimiliano Alvini,Away,1
3844844,276,1,19.0,Salvatore Bocchetti,6574,2,8.0,Alessio Dionisi,Away,0
3844857,416,1,9.0,Ivan Juric,1025,2,10.0,Thiago Motta,Away,0
3844884,416,1,9.0,Ivan Juric,12,1,6.0,José Mourinho,Away,0
3844899,410,0,8.0,Andrea Sottil,506,1,7.0,Massimiliano Allegri,Away,0
3844902,46,2,3.0,Simone Inzaghi,2919,2,14.0,Raffaele Palladino,Away,0
3844909,276,0,18.0,Marco Zaffaroni,46,1,3.0,Simone Inzaghi,Away,0
3844943,800,0,5.0,Gian Piero Gasperini,6574,1,14.0,Alessio Dionisi,Away,0
3844964,506,2,7.0,Massimiliano Allegri,3522,0,17.0,Fabrizio Lorieri,Away,1
3844979,749,1,14.0,Paolo Zanetti,2919,2,11.0,Raffaele Palladino,Away,0
3845015,380,1,15.0,Paulo Sousa,3522,1,17.0,Leonardo Semplici,Away,0
3845069,276,1,17.0,Marco Zaffaroni,1005,0,16.0,Marco Baroni,Away,1
3845074,2919,1,10.0,Raffaele Palladino,416,1,9.0,Ivan Juric,Away,0
3845081,1005,2,16.0,Marco Baroni,398,2,3.0,Maurizio Sarri,Away,0
3845090,1038,1,20.0,Dejan Stankovic,5,5,4.0,Stefano Pioli,Away,0
3845114,46,1,3.0,Simone Inzaghi,416,0,10.0,Ivan Juric,Away,1
3865511,130,2,,Fabio Pecchia,380,0,,Davide Nicola,Away,1
2977053,276,0,,Fabio Pecchia,5,3,,Gennaro Gattuso,Away,0
3080912,6574,2,5.0,Roberto De Zerbi,1390,2,14.0,Rolando Maran,Away,0
3081147,1038,1,12.0,Marco Giampaolo,12,4,6.0,Eusebio Di Francesco,Away,0
3081164,506,3,1.0,Massimiliano Allegri,430,0,11.0,Stefano Pioli,Away,1
3081202,506,2,1.0,Massimiliano Allegri,800,2,11.0,Gian Piero Gasperini,Away,0
3081257,506,3,1.0,Massimiliano Allegri,6574,0,11.0,Roberto De Zerbi,Away,1
3081333,862,0,20.0,Domenico Di Carlo,1025,3,17.0,Siniša Mihajlović,Away,0
3081356,5,1,4.0,Gennaro Gattuso,130,1,14.0,Roberto D'Aversa,Away,0
3084019,5587,1,,Fabio Caserta,276,4,,Fabio Grosso,Away,0
3229197,12,2,4.0,Paulo Fonseca,1025,1,7.0,Miroslav Tanjga,Away,1
3229350,6195,0,11.0,Gennaro Gattuso,398,1,3.0,Simone Inzaghi,Away,0
3229389,506,1,1.0,Maurizio Sarri,276,2,6.0,Ivan Juric,Away,0
3229427,1390,1,10.0,Walter Zenga,2722,0,19.0,Luigi Di Biagio,Away,1
3229442,1005,0,18.0,Fabio Liverani,506,4,1.0,Maurizio Sarri,Away,0
3229521,130,2,11.0,Roberto D'Aversa,19,1,19.0,Diego López,Away,1
3433406,4083,0,20.0,Giovanni Stroppa,506,3,3.0,Andrea Pirlo,Away,0
3433430,1038,1,10.0,Claudio Ranieri,252,1,13.0,Davide Ballardini,Away,0
3433497,1390,1,18.0,Leonardo Semplici,410,0,12.0,Luca Gotti,Away,1
3507998,2722,0,,Pasquale Marino,506,4,,Andrea Pirlo,Away,0
3614820,276,1,10.0,Igor Tudor,749,1,13.0,Aurelio Andreazzoli,Away,0
3844763,410,2,10.0,Andrea Sottil,2919,1,19.0,Giovanni Stroppa,Away,1
3844776,6574,0,11.0,Alessio Dionisi,2239,0,18.0,Massimiliano Alvini,Away,0
3844835,506,1,17.0,Massimiliano Allegri,416,0,10.0,Ivan Juric,Away,1
3844840,749,0,11.0,Paolo Zanetti,506,4,15.0,Massimiliano Allegri,Away,0
3844939,5,0,6.0,Stefano Pioli,46,1,2.0,Simone Inzaghi,Away,0
3844948,380,0,16.0,Davide Nicola,276,1,18.0,Marco Zaffaroni,Away,0
3844951,12,1,5.0,José Mourinho,1005,1,15.0,Marco Baroni,Away,0
3947767,3522,2,,Luca Gotti,800,5,,Gian Piero Gasperini,Away,0
4103514,46,1,1.0,Simone Inzaghi,749,0,20.0,Aurelio Andreazzoli,Away,1
4103522,5,3,2.0,Stefano Pioli,1390,1,20.0,Claudio Ranieri,Away,1
4103540,276,0,14.0,Marco Baroni,416,0,11.0,Ivan Juric,Away,0
4103542,12,4,10.0,José Mourinho,1390,1,20.0,Claudio Ranieri,Away,1
4103604,1390,0,19.0,Claudio Ranieri,398,1,8.0,Maurizio Sarri,Away,0
4103605,1025,1,7.0,Thiago Motta,1005,1,13.0,Roberto D'Aversa,Away,0
4103615,416,0,11.0,Ivan Juric,8970,0,12.0,Eusebio Di Francesco,Away,0
4103631,6574,2,15.0,Alessio Dionisi,410,2,17.0,Gabriele Cioffi,Away,0
4103696,506,0,2.0,Massimiliano Allegri,46,1,1.0,Simone Inzaghi,Away,0
4103719,252,1,12.0,Alberto Gilardino,6195,1,8.0,Walter Mazzarri,Away,0
4103755,5,3,2.0,Stefano Pioli,276,1,15.0,Marco Baroni,Away,1
4103771,2919,0,11.0,Raffaele Palladino,416,1,10.0,Ivan Juric,Away,0
4103782,276,2,15.0,Marco Baroni,800,2,6.0,Gian Piero Gasperini,Away,0
4103798,1025,3,4.0,Thiago Motta,12,1,5.0,Daniele De Rossi,Away,1
4103800,1005,3,13.0,Luca Gotti,6574,0,19.0,Davide Ballardini,Away,1
4103835,800,2,5.0,Gian Piero Gasperini,1005,0,14.0,Luca Gotti,Away,1
4103849,6574,1,19.0,Davide Ballardini,398,1,7.0,Igor Tudor,Away,0
4137131,6574,5,,Alessio Dionisi,4031,2,,Fabio Caserta,Away,1
4373910,1047,0,19.0,Cesc Fàbregas,506,3,2.0,Thiago Motta,Away,0
4373956,276,2,14.0,Paolo Zanetti,1047,3,10.0,Cesc Fàbregas,Away,0
4373994,1390,0,14.0,Davide Nicola,410,2,7.0,Kosta Runjaic,Away,0
4374005,1005,0,20.0,Luca Gotti,1025,1,9.0,Vincenzo Italiano,Away,0
4374028,46,5,3.0,Simone Inzaghi,276,0,14.0,Paolo Zanetti,Away,1
4430399,19,1,,Rolando Maran,2919,3,,Alessandro Nesta,Away,0
4103591,800,1,6.0,Gian Piero Gasperini,410,1,16.0,Gabriele Cioffi,Away,0
4103787,749,0,17.0,Davide Nicola,1005,1,13.0,Luca Gotti,Away,0
4373942,46,1,3.0,Simone Inzaghi,2919,1,15.0,Alessandro Nesta,Away,0
4374022,398,1,5.0,Marco Baroni,2919,0,19.0,Alessandro Nesta,Away,1
2359243,398,0,8.0,Vladimir Petkovic,12,2,1.0,Rudi Garcia,Away,0
2359255,410,0,12.0,Francesco Guidolin,800,2,13.0,Stefano Colantuono,Away,0
2359271,1210,0,13.0,Davide Nicola,6195,4,2.0,Rafael Benítez,Away,0
2359376,1390,0,12.0,Diego López,862,0,16.0,Eugenio Corini,Away,0
2359387,506,4,1.0,Antonio Conte,1390,1,14.0,Diego López,Away,1
2359393,5,3,11.0,Massimiliano Allegri,6574,4,17.0,Eusebio Di Francesco,Away,0
2359399,398,3,9.0,Edoardo Reja,410,2,15.0,Francesco Guidolin,Away,1
2359415,430,0,4.0,Vincenzo Montella,1390,1,14.0,Diego López,Away,0
2359424,410,2,15.0,Francesco Guidolin,1025,0,17.0,Davide Ballardini,Away,1
2359444,410,3,13.0,Francesco Guidolin,252,3,11.0,Gian Piero Gasperini,Away,0
2359467,430,0,4.0,Vincenzo Montella,506,1,1.0,Antonio Conte,Away,0
2359478,46,2,5.0,Walter Mazzarri,276,0,8.0,Andrea Mandorlini,Away,1
2359479,506,1,1.0,Antonio Conte,252,0,12.0,Gian Piero Gasperini,Away,1
2359506,1390,1,15.0,Diego López,416,2,10.0,Gian Piero Ventura,Away,0
2359510,252,0,13.0,Gian Piero Gasperini,276,3,9.0,Andrea Mandorlini,Away,0
2359517,1210,0,18.0,Domenico Di Carlo,506,2,1.0,Antonio Conte,Away,0
2359523,416,2,10.0,Gian Piero Ventura,1627,1,20.0,Rolando Maran,Away,1
2359534,130,1,6.0,Roberto Donadoni,1025,1,17.0,Davide Ballardini,Away,0
2359540,6195,1,3.0,Rafael Benítez,410,1,14.0,Francesco Guidolin,Away,0
2359544,416,3,8.0,Gian Piero Ventura,398,3,9.0,Edoardo Reja,Away,0
2359562,1038,0,12.0,Siniša Mihajlović,130,2,7.0,Roberto Donadoni,Away,0
2478617,6195,0,14.0,Rafael Benítez,410,1,5.0,Andrea Stramaccioni,Away,0
2478625,458,3,14.0,Giuseppe Iachini,6195,3,10.0,Rafael Benítez,Away,0
2478626,12,2,2.0,Rudi Garcia,130,1,20.0,Roberto Donadoni,Away,1
2478656,506,1,1.0,Massimiliano Allegri,6574,1,19.0,Eusebio Di Francesco,Away,0
2478660,1390,4,13.0,Zdenek Zeman,749,0,14.0,Maurizio Sarri,Away,1
2478661,458,0,17.0,Giuseppe Iachini,506,2,1.0,Massimiliano Allegri,Away,0
2478672,398,1,6.0,Stefano Pioli,276,1,11.0,Andrea Mandorlini,Away,0
2478694,410,1,8.0,Andrea Stramaccioni,458,1,12.0,Giuseppe Iachini,Away,0
2478697,800,0,16.0,Stefano Colantuono,6574,0,13.0,Eusebio Di Francesco,Away,0
2478724,749,2,13.0,Maurizio Sarri,6195,2,5.0,Rafael Benítez,Away,0
2478765,749,0,15.0,Maurizio Sarri,1038,1,5.0,Siniša Mihajlović,Away,0
2478788,1390,1,17.0,Gianfranco Zola,800,2,15.0,Stefano Colantuono,Away,0
2478796,130,1,20.0,Roberto Donadoni,5,3,9.0,Filippo Inzaghi,Away,0
2478810,430,3,4.0,Vincenzo Montella,6574,1,12.0,Eusebio Di Francesco,Away,1
2478818,800,1,17.0,Stefano Colantuono,506,2,1.0,Massimiliano Allegri,Away,0
2478824,12,1,2.0,Rudi Garcia,276,1,15.0,Andrea Mandorlini,Away,0
2478826,416,1,10.0,Gian Piero Ventura,430,1,5.0,Vincenzo Montella,Away,0
2478828,749,0,15.0,Maurizio Sarri,458,0,10.0,Giuseppe Iachini,Away,0
2478832,398,3,4.0,Stefano Pioli,6574,0,12.0,Eusebio Di Francesco,Away,1
2478836,1038,2,6.0,Siniša Mihajlović,800,1,17.0,Stefano Colantuono,Away,1
2478840,430,0,6.0,Vincenzo Montella,398,4,4.0,Stefano Pioli,Away,0
2478845,12,0,2.0,Rudi Garcia,862,0,16.0,Rolando Maran,Away,0
2478875,1038,0,5.0,Siniša Mihajlović,430,2,4.0,Vincenzo Montella,Away,0
2478876,416,2,7.0,Gian Piero Ventura,800,1,17.0,Edoardo Reja,Away,1
2478950,430,3,5.0,Vincenzo Montella,458,2,11.0,Giuseppe Iachini,Away,1
2486239,1627,0,,Maurizio Pellegrino,1390,2,,Zdenek Zeman,Away,0
2486248,4153,0,,Giovanni Pagliari,749,3,,Maurizio Sarri,Away,0
2590636,398,0,,Stefano Pioli,506,2,,Massimiliano Allegri,Away,0
2603992,430,1,10.0,Paulo Sousa,416,3,2.0,Gian Piero Ventura,Away,0
2604042,46,1,2.0,Roberto Mancini,1038,1,9.0,Walter Zenga,Away,0
2604046,1038,0,10.0,Walter Zenga,8970,2,16.0,Roberto Stellone,Away,0
2604057,12,2,1.0,Rudi Garcia,430,1,3.0,Paulo Sousa,Away,1
2604071,749,1,14.0,Marco Giampaolo,1038,1,9.0,Walter Zenga,Away,0
2604081,5,3,6.0,Siniša Mihajlović,398,1,7.0,Stefano Pioli,Away,1
2604128,1038,1,16.0,Vincenzo Montella,398,1,12.0,Stefano Pioli,Away,0
2604161,5,1,8.0,Siniša Mihajlović,12,1,5.0,Rudi Garcia,Away,0
2604182,416,0,11.0,Gian Piero Ventura,430,2,3.0,Paulo Sousa,Away,0
2604188,46,0,4.0,Roberto Mancini,5,3,6.0,Siniša Mihajlović,Away,0
2604197,862,0,12.0,Rolando Maran,46,1,4.0,Roberto Mancini,Away,0
2604206,749,0,8.0,Marco Giampaolo,800,0,13.0,Edoardo Reja,Away,0
2604215,1025,1,10.0,Roberto Donadoni,410,0,14.0,Stefano Colantuono,Away,1
2604221,12,3,4.0,Luciano Spalletti,4102,1,19.0,Fabrizio Castori,Away,1
2604231,458,0,16.0,Giuseppe Iachini,12,5,4.0,Luciano Spalletti,Away,0
2604235,1025,0,9.0,Roberto Donadoni,458,0,17.0,Giuseppe Iachini,Away,0
2604236,8970,0,18.0,Roberto Stellone,1038,2,16.0,Vincenzo Montella,Away,0
2604302,6574,1,7.0,Eusebio Di Francesco,430,3,5.0,Paulo Sousa,Away,0
2604308,8970,1,18.0,Roberto Stellone,862,5,8.0,Rolando Maran,Away,0
2604313,416,2,11.0,Gian Piero Ventura,12,3,3.0,Luciano Spalletti,Away,0
2604317,506,2,1.0,Massimiliano Allegri,430,1,5.0,Paulo Sousa,Away,1
2604320,6195,0,2.0,Maurizio Sarri,12,1,3.0,Luciano Spalletti,Away,0
2604327,430,0,5.0,Paulo Sousa,862,0,9.0,Rolando Maran,Away,0
2604333,416,5,10.0,Gian Piero Ventura,410,1,16.0,Luigi De Canio,Away,1
2604349,276,2,20.0,Luigi Delneri,458,3,17.0,Davide Ballardini,Away,0
2604353,416,1,12.0,Gian Piero Ventura,749,2,11.0,Marco Giampaolo,Away,0
2611221,1210,0,,Christian Panucci,4102,2,,Fabrizio Castori,Away,0
2724819,26860,0,,Marco Gaburro,18950,3,,Gaetano Auteri,Away,0
2725482,252,3,1.0,Ivan Juric,4083,1,19.0,Davide Nicola,Away,1
