game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type
3077542,CIT,2018,First Round,2018-07-29,4554,29490,2,1,,,Paolo Zanetti,Fabrizio Ferazzoli,Druso,300.0,Daniel Amabile,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3077542,3-5-2 flat,4-3-1-2,,,2:1,domestic_cup
3240351,CIT,2019,Second Round,2019-08-11,839,4271,1,0,,,Massimo Oddo,Massimo Pavanel,Renato Curi,3280.0,Giacomo Camplone,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3240351,4-3-2-1,4-4-2,,,1:0,domestic_cup
3441900,CIT,2020,First Round,2020-09-22,1103,4541,1,2,,,Cristiano Lucarelli,Marco Zaffaroni,Libero Liberati,,Francesco Fourneau,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3441900,4-2-3-1,3-4-1-2,,,1:2,domestic_cup
3623632,CIT,2021,Qualifying Round,2021-08-08,839,4554,1,0,,,Massimiliano Alvini,Ivan Javorcic,Renato Curi,1100.0,Gianpiero Miele,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3623632,3-5-2 flat,4-3-1-2,,,1:0,domestic_cup
4103477,IT1,2023,1. Matchday,2023-08-20,1005,398,2,1,7.0,13.0,Roberto D'Aversa,Maurizio Sarri,Ettore Giardiniero,29081.0,Federico Dionisi,https://www.transfermarkt.co.uk/us-lecce_ss-lazio/index/spielbericht/4103477,4-3-3 Attacking,4-3-3 Attacking,Unione Sportiva Lecce,Società Sportiva Lazio S.p.A.,2:1,domestic_league
4103485,IT1,2023,2. Matchday,2023-08-26,276,12,2,1,4.0,15.0,Marco Baroni,José Mourinho,Marcantonio Bentegodi,23147.0,Daniele Doveri,https://www.transfermarkt.co.uk/hellas-verona_as-roma/index/spielbericht/4103485,3-4-2-1,3-5-2 flat,Verona Hellas Football Club,Associazione Sportiva Roma,2:1,domestic_league
4103507,IT1,2023,4. Matchday,2023-09-16,46,5,5,1,1.0,3.0,Simone Inzaghi,Stefano Pioli,Giuseppe Meazza,75571.0,Simone Sozza,https://www.transfermarkt.co.uk/inter-milan_ac-milan/index/spielbericht/4103507,3-5-2 flat,4-3-3 Attacking,Football Club Internazionale Milano S.p.A.,Associazione Calcio Milan,5:1,domestic_league
4103594,IT1,2023,13. Matchday,2023-11-26,1390,2919,1,1,17.0,9.0,Claudio Ranieri,Raffaele Palladino,Unipol Domus,16291.0,Matteo Marchetti,https://www.transfermarkt.co.uk/cagliari-calcio_ac-monza/index/spielbericht/4103594,3-4-1-2,3-4-2-1,Cagliari Calcio,Associazione Calcio Monza,1:1,domestic_league
4103610,IT1,2023,14. Matchday,2023-12-04,416,800,3,0,10.0,9.0,Ivan Juric,Gian Piero Gasperini,Olimpico Grande Torino,18507.0,Marco Piccinini,https://www.transfermarkt.co.uk/torino-fc_atalanta-bc/index/spielbericht/4103610,3-4-1-2,3-4-2-1,Torino Calcio,Atalanta Bergamasca Calcio S.p.a.,3:0,domestic_league
4103617,IT1,2023,15. Matchday,2023-12-09,46,410,4,0,1.0,17.0,Simone Inzaghi,Gabriele Cioffi,Giuseppe Meazza,71874.0,Marco Di Bello,https://www.transfermarkt.co.uk/inter-milan_udinese-calcio/index/spielbericht/4103617,3-5-2 flat,3-5-2 flat,Football Club Internazionale Milano S.p.A.,Udinese Calcio,4:0,domestic_league
